budget,company,country,genre,gross,rating,runtime,score,votes,year
0,New Line Cinema,USA,Adventure,147724,R,100,6.5,1065,1992
22000000,Universal Pictures,USA,Biography,96067179,R,195,8.9,956124,1993
0,Walt Disney Pictures,USA,Comedy,32416586,PG,101,7.8,63337,1993
63000000,Universal Pictures,USA,Adventure,402453882,PG-13,127,8.1,685270,1993
18000000,Touchstone Pictures,USA,Animation,75082668,PG,76,8,242487,1993
0,Warner Bros.,USA,Drama,31181347,G,101,7.3,30896,1993
14600000,Columbia Pictures Industries,USA,Comedy,70906973,PG,101,8,483649,1993
25000000,Walt Disney Pictures,USA,Comedy,219200000,PG-13,125,6.9,198772,1993
21000000,TriStar Pictures,USA,Comedy,126533006,PG,105,6.8,132264,1993
85000000,Columbia Pictures Industries,USA,Action,50016394,PG-13,130,6.3,114476,1993
